c_fundae,id_grupo,denominacion_accion_formativa,Estado
070-01,410696,Curso de Inglés Nivel Principiante Iberassekuranz,Válido
071-01,410971,Curso de Inglés Nivel Principiante Iberassekuranz,Válido
072-01,411078,Curso de Inglés Nivel Intermedio Iberassekuranz,Válido
073-01,411183,Curso de Inglés Nivel Intermedio Iberassekuranz,Válido
074-01,411323,Curso de Italiano / Iberassekuranz,Válido
075-01,411371,Curso de Alemán/ Nivel Básico. Iberassekuranz,Válido
076-01,411414,Curso de Francés Intermedio - Iberassekuranz,Válido
077-01,426478,Curso de Inglés Nivel C1 - Iberassekuranz,Válido
078-01,426522,Curso de Inglés Nivel Intermedio - Iberassekuranz,Válido
079-01,443404,Curso de Inglés Nivel Intermedio - GKN,Válido
080-01,449068,Curso de Inglés Nivel Intermedio ,Válido
080-02,449073,Curso de Inglés Nivel Intermedio,Válido
081-01,449071,Curso de Inglés Nivel Intermedio - Alto,Válido
081-02,449075,Curso de Inglés Nivel Intermedio - Alto,Válido
082-01,449222,Curso de inglés (general),Válido
082-02,449224,Curso de inglés (general),Válido
082-03,449227,Curso de inglés (general),Válido
082-04,449232,Curso de inglés (general),Válido
083-01,519897,Curso de Inglés Nivel Intermedio - Tekia 2,Válido
084-01,519867,Curso de Inglés Nivel Avanzado - Tekia 2,Válido
085-01,519961,Curso de Inglés Nivel B1.2 - Tekia 2,Válido
086-01,520058,Curso de Inglés Nivel Principiante - Tekia 2,Válido
087-01,520101,Curso de Inglés Nivel B1 - Tekia 2,Válido
088-01,520128,Curso de Inglés Nivel B2 - Tekia 2,Válido
089-01,576409,Curso de Francés Intermedio - Bajo ( Papelera del NERVÓN ),Válido
090-01,576440,Curso de francés - Nivel Principiante ( Papelera del Nervión),Válido
091-01,576502,Curso de Inglés - Nivel A2/B1 - (Papelera del Nervión),Válido
092-01,576565,Curso de Inglés - Nivel Intermedio - (Papelera del Nervión),Válido
093-01,622443,Curso de Inglés Nivel A2,Válido
095-01,724177,Curso de Inglés Nivel Avanzado.,Válido
096-01,724190,Curso de Inglés Nivel B1.2,Válido
097-01,724209,Curso de Inglés Nivel B2,Válido
099-01,730777,Curso de Inglés Nivel B1,Válido
